label;text
hoax;Virus corona adalah konspirasi elite global
hoax;Minum air garam bisa menyembuhkan COVID-19
hoax;5G menyebabkan virus menyebar lebih cepat
hoax;Vaksin COVID-19 mengandung chip pelacak
hoax;Bawang putih menyembuhkan segala penyakit
hoax;COVID-19 hanya trik pemerintah untuk menakut-nakuti
hoax;Orang yang divaksin bisa berubah jadi zombie
hoax;Bill Gates menciptakan virus untuk menjual vaksin
hoax;Minyak kayu putih bisa cegah virus corona
hoax;Cuaca panas membunuh virus corona secara alami
real;Pemerintah meluncurkan program vaksinasi nasional
real;WHO menyarankan penggunaan masker di tempat umum
real;Penelitian membuktikan vaksin efektif melawan virus
real;Presiden meresmikan tol baru di Jawa Tengah
real;Vaksin booster terbukti meningkatkan kekebalan tubuh
real;Kemenkes umumkan penurunan kasus COVID-19
real;Ahli: Konsumsi air putih penting untuk kesehatan
real;Universitas riset teknologi pencegahan pandemi
real;Tim medis terima penghargaan atas dedikasinya
real;Masyarakat mulai patuhi protokol kesehatan
